URL,Job Title,Job Description
https://sg.indeed.com/rc/clk?jk=82626aef36721993&fccid=8151943bb05df1fd&vjs=3,Junior Sustainability Data Scientist,"Job detailsSalary$7,000 - $8,000 a monthJob TypePermanentFull Job Description
About us: 
EDHECinfra provides market indices, benchmarks, and valuation analytics for unlisted infrastructure equity and private debt investors. Asset owners, asset managers, consultants, and asset valuation professionals use our datasets, which track thousands of investments in 25 countries over the past 20 years. 
In 2021, EDHECinfra launched a new, ambitious project: The Green Infrastructure Project. Its goal is ""to create a commercially viable ESG data product for the use of investors in infrastructure. "" 
The Green Infrastructure Project aims to develop science-based ""sustainability risk"" and ""sustainability impact"" exposure metrics for ""infrastructure assets"" across all sectors globally. These metrics will allow clients to report on and benchmark infrastructure investments in terms of ESG risks and impacts. 
About the role: 
We are looking for a junior data scientist passionate about sustainability and ESG. The job's primary purpose is to support the development of ESG exposure metrics for infrastructure assets by applying AI, Machine Learning, and other quantitative methods. 
The ideal candidate must also demonstrate strong quantitative skills, be intellectually curious, and meet deadlines independently. 
The ideal candidate will also be creative, comfortable working in a multidisciplinary environment and have a basic understanding of the sustainability and ESG landscapes (e.g., regulations, climate impact measurement, physical risk, ESG-related estimations, etc.). 
The candidate will report to the Green Infrastructure Project Director. 
Responsibilities: 

To contribute to the research component of the Green Infrastructure project with applied research, AI solutions, and quantitative methods 


To support the development of ESG metrics using AI and Machine Learning methods, with special emphasis on NLP and sentiment analysis 


Developing and testing machine learning models, processes, and techniques 


To support the team's needs in research, data analysis, AI solutions, and mathematical/statistical modeling 


To contribute and participate in the internal discussions about ESG, infrastructure, metrics, AI solutions, etc. 

Candidate requirements: 

The candidate must have a background (master's degree or Ph.D.) in mathematics, statistics, data science (including Machine Learning), physics, economics, or equivalent quantitative research experience if the candidate has a different academic background 


At least two years of working experience in related fields 


Experience processing data and quantitative analysis within a data-intensive environment. (e.g., energy, tech, finance) 


Demonstrated ability to work with large volumes of data 


Excellent understanding and ongoing learning of Data Science and Machine Learning frameworks, tools, and algorithms, both for regression and classification problems (e.g., Python, and ArcGIS, are highly desirable) 


Excellent understanding of statistics and statistical methods 


Fluent English and demonstrated written and spoken English capacity 


Data-driven and detail-oriented mindset 


Strong work ethic and sense of ownership 

Additional desired qualities and experience 

Understanding and experience in NLP and sentiment analysis 


Experience in one or more of the following fields is an asset: infrastructure sector (e.g., energy, transport sectors), ESG, sustainable development, sustainable finance, climate change 


Experience working with spatial data and GIS is highly desirable 


Familiarity with sustainability and ESG regulations 

Attractive salary and bonus, healthcare and pension plan coverage. 
The salary will be determined according to EDHEC's pay scale, the candidate's qualifications, and experience. 
To apply for this offer, please send a CV and a cover letter to: recruitment@edhec-dbd.com. 
To know more about EDHECinfra: https://edhec.infrastructure.institute/mission
Hiring InsightsJob activityPosted Today"
https://sg.indeed.com/rc/clk?jk=24b02639227739d4&fccid=c1099851e9794854&vjs=3,"Data Scientist, AppleCare","



Summary


      Posted: May 11, 2022
     

      Weekly Hours: 
      40


      Role Number:
      200373121



     Apple is a place where extraordinary people gather to do their best work. If you’re excited by the idea of making a real impact, a career with Apple might be your dream job… Just be prepared to dream big! We are seeking an experienced data scientist to join the dynamic team of AppleCare Business Insights, Operations & Systems (ACBIOS) in Singapore. ACBIOS is an organization that provides feedback loop to drive best post-sale experience and continuous product and process improvement. An expert in advanced analytics, you are passionate about turning data into impactful insights, and driving creative data science solutions. You are skilled at creating analytical models and interactive visualisations. You are a motivated self-starter, comfortable navigating through ambiguity to evaluate complex data, analyse data from multiple angles, build analytical workflows, to deliver findings that directly impact the business. If this describes you, then you should consider joining us!
    








Key Qualifications




3+ Years experience in a similar field.
Experienced in data science, machine learning, visualisation, and data storytelling; passionate about drawing insights and hidden patterns from data
Meticulous attention to detail, data integrity, and data wrangling
Knowledge of database technologies such as Teradata, Snowflake or MySQL with strong SQL execution and optimisation skills.
Highly proficient in Tableau or similar BI tools
Skilled in Python or R for data science.
Ability to articulate complex data science concepts in business terms, know how to tell a story to highlight key insights, and present analysis effectively to key partners
High intellectual curiosity to learn and understand business needs
Excellent social skills to collaborate with cross-functional partners to share knowledge, communicate findings, and integrate feedback
Experience driving reporting improvements and technology implementations in support of business analytics
Proven ability to operate comfortably and effectively in a fast paced, highly-matrixed, rapidly changing environment
In-depth knowledge of both supervised and unsupervised machine learning and statistical techniques such as regression, classifiers, clustering, and deep learning










Description



       - The ideal candidate will have outstanding communication skills, proven data science and advanced analytics capabilities, strong business acumen, and an innate drive to deliver results. - They will be a self-starter, comfortable with ambiguity, and enjoy working in a fast-paced dynamic environment. Innovative and strategic approach to reporting and business analytics. - Partner closely with IS&T/GBI teams to enrich and consume data to address business questions - Develop custom models, algorithms, and interactive visualisations to deliver AppleCare Service and Support insights, Service Supply Chain Operations insights - Wrangle and analyse data to identify patterns, trends, and feature engineering - Evaluate business needs through in-depth conversations with business users to understand the domain and apply data science for insights
      








Education & Experience



       - BS or equivalent in Computer Science, Mathematical or Statistical degree - MSc in Advanced Analytics a distinct benefit.
      








Additional Requirements




To learn more about opportunities at Apple, visit https://www.apple.com/jobs/sg/
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.







Hiring InsightsJob activityPosted 5 days ago"
https://sg.indeed.com/rc/clk?jk=8bea83d362eb5a36&fccid=5249cd8e17163cb5&vjs=3,Specialist Data Scientist,"Job detailsJob TypeFull-timePermanentFull Job Description


Job
: Data and Analytics
 

 Primary Location
: Asia-Singapore-Singapore
 

 Schedule
: Full-time
 

 Employee Status
: Permanent
 

 Posting Date
: 09/Jun/2022, 12:52:08 AM
 

 Unposting Date
: 10/Jul/2022, 5:59:00 PM
 







About Standard Chartered


We're an international bank, nimble enough to act, big enough for impact. For more than 160 years, we've worked to make a positive difference for our clients, communities, and each other. We question the status quo, love a challenge and enjoy finding new opportunities to grow and do better than before. If you're looking for a career with purpose and you want to work for a bank making a difference, we want to hear from you. You can count on us to celebrate your unique talents. And we can't wait to see the talents you can bring us.  Our purpose, to drive commerce and prosperity through our unique diversity, together with our brand promise, to be here for good are achieved by how we each live our valued behaviours. When you work with us, you'll see how we value difference and advocate inclusion. Together we:

Do the right thing and are assertive, challenge one another, and live with integrity, while putting the client at the heart of what we do
Never settle, continuously striving to improve and innovate, keeping things simple and learning from doing well, and not so well
Be better together, we can be ourselves, be inclusive, see more good in others, and work collectively to build for the long term

In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing.

Core bank funding for retirement savings, medical and life insurance, with flexible and voluntary benefits available in some locations
Time-off including annual, parental/maternity (20 weeks), sabbatical (12 weeks maximum) and volunteering leave (3 days), along with minimum global standards for annual and public holiday, which is combined to 30 days minimum
Flexible working options based around home and office locations, with flexible working patterns
Proactive wellbeing support through Unmind, a market-leading digital wellbeing platform, development courses for resilience and other human skills, global Employee Assistance Programme, sick leave, mental health first-aiders and all sorts of self-help toolkits
A continuous learning culture to support your growth, with opportunities to reskill and upskill and access to physical, virtual and digital learning
Being part of an inclusive and values driven organisation, one that embraces and celebrates our unique diversity, across our teams, business functions and geographies - everyone feels respected and can realise their full potential.

Recruitment assessments - some of our roles use assessments to help us understand how suitable you are for the role you've applied to. If you are invited to take an assessment, this is great news. It means your application has progressed to an important stage of our recruitment process.

The Role Responsibilities
We research systematic trading ideas that predict the future of financial markets, applying scientific techniques to find patterns in large, noisy and rapidly changing real-world data sets. We are working on the fringes of the possible, innovating new techniques where necessary. We also build on the latest academic research into optimisation methods to find innovative solutions that overcome the simplified assumptions of traditional financial maths. Hence the following are key:

Design and develop client centric and bank wide ML-powered analytical products
Provide necessary data analytics support to various internal stakeholders, including (but not limited to): sales, relationship managers, leadership, traders
Develop machine learning and advanced analytics solutions with the aim of improving yields from the business and enable improved customer experience.
Work alongside existing analytics teams to enable consistent approach to data requirements
Work alongside engineering team to make the models production-ready and deployable for use of internal customers

Regulatory & Business Conduct 

Display exemplary conduct and live by the Group’s Values and Code of Conduct.
Take personal responsibility for embedding the highest standards of ethics, including regulatory and business conduct, across Standard Chartered Bank. This includes understanding and ensuring compliance with, in letter and spirit, all applicable laws, regulations, guidelines and the Group Code of Conduct.
Lead to achieve the outcomes set out in the Bank’s Conduct Principles: Fair Outcomes for Clients; Effective Financial Markets; Financial Crime Compliance; The Right Environment.
Effectively and collaboratively identify, escalate, mitigate and resolve risk, conduct and compliance matters.

Key Stakeholders

Global Head of Digital Channels and Data Analytics, Global Heads of Credit and Macro Trading

Our Ideal Candidate

5 years of experience in Data Scientist
Advanced experience in Machine Learning
Knowledge in Finance Domain will be an added advantage
MSc./PhD in a quantitative discipline (e.g. mathematics, physics, computer science, engineering)
Ability to learn new skills (e.g. new programming languages, new business terminology)

Role Specific Technical Competencies

Python
Machine Learning
Statistics & probability
Data manipulation (SQL)
Quantitative finance


Visit our careers website www.sc.com/careers



Hiring InsightsJob activityPosted 10 days ago"
https://sg.indeed.com/rc/clk?jk=e6e194933c90436d&fccid=ddf56fed8e5aa952&vjs=3,Data Scientist,"
Job Description
The Data Scientist will report directly to the CEO and function as an integral member within a team of highly capable engineers. As part of the Qontak Engineering Team, the Data Scientist will be responsible for developing our data collection abilities via our email sync network – maintaining the development culture through that growth. 
Desired Skills and Experience
What You'll Be Doing

Building a process to parsing and organizing data to build contact information for our core technology
Building upon our search engine which completes and constructs company profiles
In collaboration with the other engineers, setting the vision for the technology and architecture, including any shifts needed to stay current over the next decade

Who We Are Looking For

Computer science background with academic accomplishments
Interest in startup and entrepreneurial environments
Some experience in internet software development, touching a variety of layers of development – database, server side, and front end
Demonstrated experience driving engineering efforts
Experience with services oriented architecture, testing methodologies, and a zeal for automation at all levels
Prior work with AWS services or other cloud infrastructure platforms
Languages in both English and Bahasa Indonesia

Interested applicants please send your updated resume to brendan@terbang.com
Hiring InsightsJob activityPosted 30+ days ago"
https://sg.indeed.com/rc/clk?jk=e214be038653eaee&fccid=e08122e0e993cc32&vjs=3,Regional Data Scientist APAC,"Job detailsJob TypeFull-timeFull Job Description





Regional Data Scientist APAC









The Regional Data Scientist APAC is responsible to develop and utilize best-in-class data management techniques and modeling methodologies for Regional Market Development (MD) field experiments and drive value to customers through data analytics. This role is also responsible for identifying and establishing best practices and systems to collect and store data, optimize data usability, and analyze data with predictive models. In conjunction with the Global FT COE team, develop data structure for MD data lake, working with internal and public data (including image data) allowing the data to be used for artificial intelligence and meta-analyses. The role will effectively network within the Data Science Community and collaboratively partner with regional and country Market Development teams to drive efficient and effective field trials and provide analytical insights to support product and solution recommendations.


YOUR TASKS AND RESPONSIBILITIES:



Work on creating the right data structure, data lake and data flow.
Provide data in real time in automated flow.
Develop and validate data QA/QC procedures.
Independently perform statistical and predictive modeling of field trial data (including image data) for rapid analyses that enhance decision quality to support new product launches (including S&T, CP, SGR, Biologics, Digital etc), grow market share, and product maintenance in APAC.
Identify technical gaps within the Market Development region and applying data science acumen to unsolved business goals.
Provide clear and understandable validated analysis of trial results to internal customers which drive both strategic decisions, knowledge transfer, and marketing/sales support.
Provide value added business recommendations and solutions based on innovative predictive analytics to accelerate product development and characterization.
Apply data analytical principles which maximize the predictive power of trial results to enable data-based decision making and support APAC business growth.
Ensure quality control processes are established for verification and validation of data.
Partner with IT teams to ensure data stewardship best practices are followed across data systems and processes from data entry through reporting.
Collaborate with interdisciplinary scientists to gather requirement for data pipelines; Optimize algorithms and data workers to scale horizontally and contribute to the development of new algorithms and capabilities that will enable connected pipeline analytics for all pipelines.


 
WHO YOU ARE:



Graduate degree (PhD, MSc) or BSc in statistics, data science or quantitative discipline.
Experience with GPC cloud services (BigQuery), python, github, R, and data modeling methodologies.
Technical knowledge in: SQL and NoSQL databases (data warehousing, data modeling, etc.).
Experience with big data tools (Spark, Kafka.).
Experience with tools for authoring workflows and pipelines (Airflow, AWS Step Functions, etc.).
Demonstrated ability to work effectively in teams and collaborate across functions.
Demonstrated ability to interpret results effectively and clearly communicate complex concepts and recommendations.















Application Period:


     10 June 2022 - 9 July 2022
    

Reference Code:


     647865
    





Division:


     Crop Science
    

Location:


     Singapore / China
    





Functional Area:


     Marketing
    

Position Grade:


     VS 1.3
    





Employment Type:


     Regular
    

Work Time:


     40 hours
    












Contact Us







Address







Bayer (South East Asia) Pte Ltd
Human Resources
2 Tanjong Katong Rd
#07-01, PLQ3
Singapore 437161





Hiring InsightsJob activityPosted 6 days ago"
https://sg.indeed.com/rc/clk?jk=4ca16d669ab63cc5&fccid=caed318a9335aac0&vjs=3,"Data Scientist Intern, Growth","Job detailsJob TypeInternshipFull Job DescriptionTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

 The Growth team plays a core role in acquisition, activation, and retention of billions of users, through our globally popular products such as TikTok, Resso, CapCut, Helo, etc. We are building platform foundation, leveraging data and ML models, and providing end-to-end solutions to power global growth of our products. Typical Growth projects include referral, notifications, paid ads, etc. 

 Responsibilities 


Design and apply machine learning algorithm and product strategies to user growth methods to expand product impact as well as improve users' experiences;
Understand user growth instruments and use data and machine learning algorithms or other strategies to make it thrive;
Conduct offline and online experiments, analyze according data and evaluate to improve algorithms and strategies;
Work with Data Engineers, Data Analysts, Product and other engineers to deliver features to drive the user growth of products.
Undergraduate, or Postgraduate who is currently pursuing a degree/master in Engineering, Computer Science, Statistics, Mathematics, Physics or a related technical discipline from a university;
Experience with statistical software (e.g. R, Python, MATLAB, pandas) and database languages (e.g. SQL);
Software development experience through hands-on coding in a general purpose programming language;
Knowledge of statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.
Hiring InsightsJob activityPosted 30+ days ago"
https://sg.indeed.com/rc/clk?jk=4d8c9501412d097f&fccid=b79fa3ee18655a5a&vjs=3,"Intern, Data Scientist - TIS","Job detailsJob TypeFull-timeFull Job Description
Job Description: 

Life at Grab 
At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia. 

Get to Know the Team: 
The TIS data science team builds AI models and systems to fight fraud and risk. We extensively use data mining, machine learning, language processing and computer vision technologies on multimodality dataset of users’ whole lifecycle. With the growth of Grab’s business and tremendous amount of activities and transactions happening hourly on the platform, there is huge demand for AI technology and great opportunity for innovation. 

Get to know the Role: 

Work on real world challenging problems in machine learning and deep learning that can ultimately scale up the AI capability of Grab’s fraud platform 
Assist senior data scientists in scoping, developing and evaluating fraud models 
Develop algorithms and models, finetune and productize models 
Explore new methodologies for fraud detection from papers and research materials 
Documentating, presenting and communicating results to business and engineering teams 


The Day-to-Day Activities: 

Work with domain experts who understand fraud and financial risk very well 
Mentored by senior data scientists who are experienced in respective technical domains 
Opportunities to work with peta scale data and modern AI infrastructure 
Open for academic research and publication 
Learn about the exciting world of fraudsters and how to think like one (for a good cause) 


The Must-Haves 

Third of final year undergraduate student with good research and coding skills, Ph.D. or Master’s in CS, EE, Math or related field preferred but not a must 
Solid machine learning theory and engineering background 
Proficient in SQL and one of the following programming languages: Python, Julia 
Experienced in machine learning and/or language processing 
Current knowledge of the latest development in machine learning and deep learning 
Hands-on experience using modern deep learning frameworks (e.g. TensorFlow, PyTorch) 
Good written and oral communication skills 


Our Commitment 
We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique. 

About Grab 
Grab is the leading superapp platform in Southeast Asia, providing everyday services that matter to consumers. Today, the Grab app has been downloaded onto millions of mobile devices, giving users access to over 9 million drivers, merchants, and agents. Grab offers a wide range of on-demand services in the region, including mobility, food, package and grocery delivery services, mobile payments, and financial services across 428 cities in eight countries. 

Join us today to drive Southeast Asia forward, together.
Hiring InsightsJob activityPosted 1 day ago"
https://sg.indeed.com/rc/clk?jk=95809acb2ece0dd6&fccid=7cf87f932afc64bc&vjs=3,Data Scientist,"Job detailsJob TypeFull-timeFull Job Description
 COMPANY DESCRIPTION
 

  NE Digital is the digital, data and technology organization that serve as a center of excellence to drive digital transformation for our group of NTUC Social Enterprises to meet the critical social needs of Singapore's community. Delivering innovative products and solutions, we empower our people to lead a better and meaningful life through digital services in the area of daily essentials, health and community care, childcare and education as well as financial services.
 


The Team

 We believe that diversity is key to driving an innovative, cohesive, productive and fun workplace! Hence, at NE Digital our people join us from all around the world. Be sure to be soaked in an environment with different ethnic groups driving innovation and injecting some creative juice as one!
 Contributing to a social purpose through technology, our team of passionate and dedicated folks are spread into different social enterprises such as NTUC Fairprice Group, NTUC First Campus, NTUC Health and among others!
 Creating technologies that impacts!

 DESIGNATION : Data Scientist
 
 RESPONSIBILITIES
 
NE Digital is currently hiring for a Data Scientist to join the data science team in our center of excellence
 Responsibility:

Working with business/data analyst/product manager and provide your data science expertise to address identified analytic opportunities, including analytical approaches, data, and technology requirements for the different business unit and corporate function
Work with interdisciplinary teams to plan, identify and collect data from multiple systems to support the analytic
Working with data engineer team to build and automate of the data workflows such as extraction, transformation, and load (ETL) to transform raw data for analytics purpose
Working with machine learning engineer team to deploy analytical/optimization solutions to realize the business value
Contribute to the foundation of state-of-the-art scientific and technical data science capabilities within the CoE team in order to support several planned and ongoing data analytics projects.
Research and experiment new technologies from vendors and identify opportunities to enable data science capabilities
Help the development of data science practice such as playbooks, standardized framework, guidelines, library and tools that will allow our data practitioners to perform their work in a structured, standard manner
Contribute to our internal analytic community networks and special interest groups to upskill staff


 QUALIFICATIONS
 

Phd/Master in Statistics, Computer Science, Operations Research, Finance, Engineering
Deep understanding of statistical analysis, data mining or machine learning
Practical experience in working with large structured and unstructured data sets
Ability to think analytically and deliver results that drive business decision making
Team player to build strong business partnerships
Have competency in one or more of the following programming languages or tools: Python, R, Spark, Hive, Impala Pig or Scala
Experience or knowledge in AWS/GCP environment will be a plus
Ability to write production code will be an advantage
Prepared to take on new challenges and ad-hoc requests that need a quick turn-around
Interested in the direct-to-consumer industry

Hiring InsightsJob activityPosted 22 days ago"
https://sg.indeed.com/rc/clk?jk=fc2343c7ace478dc&fccid=c11170ec551910c0&vjs=3,Senior Data Scientist,"Job detailsJob TypeFull-timeFull Job Description
 COMPANY DESCRIPTION
 
NTUC Enterprise Co-operative Limited is the holding entity and single largest shareholder of the NTUC group of Social Enterprises. We aim to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.
 The NTUC Enterprise Centre of Excellence for Data, Digitalisation and Technology leads the transformation of the NTUC Social Enterprises by leveraging digital technologies to become more nimble, adaptable and innovative in today’s digital age.
 DESIGNATION : Senior Data Scientist
 
 RESPONSIBILITIES
 
The rapid adoption of technology and mobile devices have contributed to vast new flows of information which are larger in volume, faster in velocity, diverse in variety, and requires veracity of the information for use. This new type of information composed of structured and unstructured data, broadly known as big data (and combined with tools and platforms), if utilized well, could radically improve business performance.
 We are seeking a strong candidate with advanced analytics experience to fill a senior data scientist position within the NTUC. The role will be responsible for executing analysis that delivers valuable insights, providing predictive analytic solution with high quality and make sure the deployment with sound business sense. In this role you will work with various industries and most diverse datasets in Singapore.
 Responsibilities :

Define analytical strategy to address identified opportunities, including analytical approaches, data and technology requirements for different social enterprise
Recommend improvements using analytic in the area such as consumer marketing, churn management, supply chain management optimization, personalized search and recommendation etc.
Work with various teams to plan, identify and collect data from multiple systems to support the analytic
Working with data engineer team to build and automate of the data workflows such as extraction, transformation and load (ETL) to transform raw data for analytics purpose
Develop models and perform statistical analysis to solve various strategic business problems,
Communicate and present key analytical findings to senior management and/or other stakeholders with actionable recommendations.
Working with machine learning engineer team to deploy analytical/optimization solutions to drive growth
Work with other data scientists in the team to drive projects


 QUALIFICATIONS
 

Phd/Master in Statistics, Computer Science, Operations Research, Finance, Engineering
Deep understanding of statistical analysis, data mining or machine learning
Experience in working with large structured and unstructured data sets
Ability to think analytically and deliver results that drive business decision making
Team player to build strong business partnerships
Have competency in one or more of the following programming languages or tools : Python, R, Spark, Hive, Impala Pig or Scala
Experience or knowledge in AWS environment will be a plus
Ability to write production code will be an advantage
Prepared to take on new challenges and ad-hoc requests that need quick turn-around
2 years of data analytics experience in retail/grocery industry preferred

Hiring InsightsJob activityPosted 6 days ago"
https://sg.indeed.com/rc/clk?jk=1a40fbb55d50beeb&fccid=6576e7250aa78c3c&vjs=3,Data Scientist - QuantumBlack,"


Who You'll Work With

    You will join our Singapore office as part of QuantumBlack. You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.
   




What You'll Do
You will work in multi-disciplinary environments harnessing data to provide real-world impact for organizations globally. You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.
 In this role, you will work on complex and extremely varied data sets from some of the world’s largest organizations to solve real world problems. You will also develop data science products and solutions for clients as well as for our data science team
 You will write highly optimized code to advance our internal Data Science Toolbox. You also focus on modelling by working alongside the Data Engineering team.




Qualifications



MSc or PhD degree in a discipline such as computer science, machine learning, applied statistics, mathematics or engineering; BSc in AI or machine learning will be considered
 Programming experience in Python is essential; other languages (e.g. R and SQL) are beneficial
 Experience in statistical modelling and machine learning techniques
 Good presentation and communication skills with the ability to explain complex analytical concepts to people from other fields
 Methodical yet creative problem solver
 Experience in applying data science and machine learning methods to real world problems





Hiring InsightsJob activityPosted 30+ days ago"
