URL,Job Title,Job Description
https://sg.indeed.com/rc/clk?jk=891e00fc1f8357f8&fccid=a94c6bb50f118c9f&vjs=3,Software Engineer,"Job detailsJob TypeFresh graduateFull Job Description

Software Engineer




Date: 16-Jun-2022 
Location: Singapore, Singapore 
Company: Singtel Group 

Will you be part of the extraordinary?
We're guided by our vision of advancing communities, and bringing people and technology together to make the extraordinary happen. NCS creates end-to-end technology solutions and services clients with its NEXT capabilities of digital, cloud, platforms as well as core offerings in Applications, Infrastructure, Engineering and Cyber Security, working on projects that impact millions every day. With our passion to innovate, you can tell that we're more than ready to meet the future. Join us and be part of this extraordinary journey too.


Your role is only the beginning 
At NCS, we pride ourselves on empowering our people and talent to their fullest potential. Learning together in our NCS DOJO, we have comprehensive, built-in, training and industry standard qualifications that will allow you to up-skill and re-skill as we grow together. Our 5-year Nucleus graduate programme brings together professional coaching and technical expertise to help you attain a Master of Technology with NUS-ISS or industry-recognised Professional certifications. To broaden your perspectives, we also have multiple ‘playgrounds’ that work as Project Teams, Client Tribes, Strategy Groups and Centres-of-Excellence based in Singapore, Shenzhen and Melbourne. And if there are any ideas or projects that interest you, we’re always listening and ready to play. 

What will you be expected to do?

Participate in discussions with stakeholders to understand business and system requirements
Perform technical tasks to develop/enhance software applications according to functional and technical specifications
Maintain and improve software applications
Execute unit, integration, system and user acceptance testing
Using configuration management, integration and build automation tools to deploy applications
Identify opportunities and suggest recommendations for system improvement


 
What should you have:

Degree in Computer Science or related Engineering fields
Fresh graduate or less than 2 years of relevant working experience
Proficiency in one or more frontend framework (HTML5/Angular/React JS)
Proficiency in one or more backend languages (Java/.NET/Python/PHP)
Proficiency in database will be an added advantage
Experience in frontend and backend web application development will be an added advantage



Hiring InsightsJob activityPosted Today"
https://sg.indeed.com/rc/clk?jk=7db057a702f588ea&fccid=f1f38920739951b9&vjs=3,Software Developer,"Job detailsSalary$5,000 - $6,000 a monthJob TypeFresh graduate.css-1pza7cr{box-sizing:border-box;margin:0;min-width:0;padding-top:0;padding-bottom:0.5rem;margin-left:-0.875rem;margin-right:-0.875rem;}Benefits.css-brixrz{font-family:""Noto Sans"",""Helvetica Neue"",""Helvetica"",""Arial"",""Liberation Sans"",""Roboto"",""Noto"",sans-serif;font-weight:inherit;color:#595959;font-size:0.75rem;line-height:1.5;color:#767676;font-style:italic;font-weight:400;}Pulled from the full job description.css-4l8g94{box-sizing:border-box;margin:0;min-width:0;margin-bottom:0.5rem;}.css-k3ey05{box-sizing:border-box;margin:0;min-width:0;}.css-k3ey05>div{margin-right:0.5rem;margin-bottom:0.5rem;}.css-1f2yqp0{-webkit-align-content:center;-ms-flex-line-pack:center;align-content:center;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;border:1px solid;border-color:#d4d2d0;border-radius:0.25rem;box-sizing:border-box;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;font-family:""Noto Sans"",""Helvetica Neue"",""Helvetica"",""Arial"",""Liberation Sans"",""Roboto"",""Noto"",sans-serif;font-size:0.75rem;font-weight:700;line-height:1.5;position:relative;padding-left:0.5rem;padding-right:0.5rem;padding-top:2px;padding-bottom:2px;background-color:transparent;color:#767676;}.css-1f2yqp0 svg{display:block;height:18px;width:18px;}.css-g6kqeb{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;margin-top:-0.5rem;margin-left:-0.5rem;-webkit-box-flex-wrap:wrap;-webkit-flex-wrap:wrap;-ms-flex-wrap:wrap;flex-wrap:wrap;-webkit-box-pack:start;-ms-flex-pack:start;-webkit-justify-content:flex-start;justify-content:flex-start;}.css-g6kqeb>.ecydgvn1{margin-top:0.5rem;margin-left:0.5rem;max-width:100%;}.css-tvvxwd{-webkit-flex:0 0 auto;-ms-flex:0 0 auto;flex:0 0 auto;min-width:0;}Flexible scheduleHealth insuranceFull Job Description
There are only 10 types of people in the world. 
 Those who understand binary and those who don't.
  
01010011 01101111 01100110 01110100 01110111 01100001 
 01110010 01100101 00100000 01000100 01100101 01110110 
 01100101 01101100 01101111 01110000 01100101 01110010 
 Do you? 
 Like-minded people with a strong passion for the intricacies of software programming and who embrace the idea of positive change, we have been looking for you like, everywhere! If you want to leave a great, life-changing (for you and the many, many, many of our customers) footprint upon the face of the earth (virtually, because we're all about being #ecofriendly), we soooo want to speak with you.
 As a Software Developer in Titansoft, you can expect a monthly salary of SGD 5,000 to SGD 6,000

 What a Software Developer does in Titansoft 

Apply your expertise on our web applications using C#, ASP.NET and SQL
 Integrate awesome web applications with database or API-driven back-ends
 Design incredible templates for users' ease of use
 Enjoy solving problems with your team before they even turn into one
 Challenge ideas and spawn something revolutionary
 Work in a dynamic, collaborative and non-hierarchical team to break new grounds


 What we are looking for in a Software Developer
 Experience

 0 - 2 years of technical expertise in the software industry (fresh graduates definitely welcome!)
 Knowledge and experience on industry best practices, such as Test-Driven Development and Clean Code



 What makes a (Super!) Software Developer in Titansoft


 Passionate about life and how to make it better through technology
 Continuously seek improvements in our products, processes and people
 Constantly honing programming techniques and developing new skills


 What everyone gets in Titansoft (psst. We didn't get that Best Tech Company to Work for Award in 2017 for nothing!) 

18 days of rest and relaxation for each year (P.S. It gets even better over the years!) 
Competitive salaries and bonuses bench-marked against big players in the industry (Yeap, those companies!) 
Flexible working hours (Sleep in a little longer after fixing that pesky bug from last night) 
Comprehensive insurance coverage Very well-stocked pantry (We've never heard of the term 'Hunger Games', nope) 
Communities of Practice and Workshops catered for your growth and learning 
Substantial subsidies and programs to keep that creative flow while having fun (Health promotion program, annual overseas company outing, an annual dinner that nobody will ever forget, etc.) 
Hardcore work and hardcore fun!

 Working at Titansoft will probably be unlike any other careers you have ever had.
Hiring InsightsJob activityPosted 30+ days ago"
https://sg.indeed.com/rc/clk?jk=3051954768325557&fccid=66452d476b399a05&vjs=3,Software Engineer Internship,"Job detailsSalary$1,200 a monthJob TypePart-timeFull Job DescriptionThe Software Engineer Intern is responsible for executing full lifecycle software development under the direction of the Product Owner.  Code produced has to be functional, testable, and efficient. Being part of the Scrum development team, the intern must aim to deliver artifacts as defined in the Definition of Done.  At the end of the internship, the intern is expected to deliver a workable release of the software product, under the guidance of the Product Owner. JOB REQUIREMENT Vue.js Event Driven Programming Python Elasticsearch KafkaHiring InsightsJob activityPosted 2 days ago"
https://sg.indeed.com/rc/clk?jk=b21de19adf33f3db&fccid=aaf3b433897ea465&vjs=3,AWM - Software Engineer - Associate,"Job detailsJob TypeFull-timePermanentFull Job Description
 As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.
  Key Responsibilities :   

Collaborate and communicate openly, pairing with colleagues to write software and solve problems 
Engage directly with business stakeholders to elicit requirements and ensure that the software delivered is fit for purpose 
Technical analysis, solution design, developing, unit testing, code review, architecture, and API documentation 
Deployment of the solution for SIT, UAT testing activities and for demonstration session to business stakeholders 
Production deployments and application rollout 



Key Requirements: 



Bachelor Degreed 
At least 3 years hands on development experience in Core Java, collection framework, multithreading, and backend development 
Highly comfortable with Java Spring Framework / SpringBoot/ Spring Cloud / Rest Services 
Hands-on experience on full-stack programming/development Basic knowledge of SQL 
Writing queries using SQL databases such as Sybase or Oracle 
Familiarity with ORM framework like Hibernate , MyBatis etc 
TDD / BDD using Junit , Mockito , Cucumber and / or Cypress / Puppeteer framework 
Analytical thinker, team player and possess strong communication skills 
Have a keen focus on development modernization by embracing latest technologies and practices and taking initiative to research and learn. 
Micro service design patterns and exposure to Cloud based application development. 
Exposure to AWS and/or Pivotal Cloud Foundry would be an added advantage. 



Nice to Have: 



Exposure to UI framework such as ReactJS and/or Angular , HTML CSS and ES6 Coding standards 
Experience with middleware/messaging technologies such as MQ, JMS, Kafka, etc. and exposure to event-driven design patterns 
Experience with with NoSQL databases such as Cassandra and/or MongoDB 
Big data - Hadoop , Hive , Spark 

J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
 We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
Hiring InsightsJob activityPosted 1 day ago"
https://sg.indeed.com/rc/clk?jk=1f8b5da13797dbf8&fccid=5249cd8e17163cb5&vjs=3,"Staff Software Engineer, nexus","Job detailsJob TypeFull-timePermanentFull Job Description


Job
: Technology
 

 Primary Location
: Asia-Singapore-Singapore
 

 Schedule
: Full-time
 

 Employee Status
: Permanent
 

 Posting Date
: 04/May/2022, 10:10:14 PM
 

 Unposting Date
: 19/Jun/2022, 5:59:00 PM
 




 Want to push the boundaries of traditional technology, finance and operations? At nexus, courage is a defining trait for all team members. Courage to challenge the status quo, to do better, to deliver against the grain and to achieve spectacular results in massive ambiguity. We want to change how ecosystems interact and only have the blueprint for the baby steps – come join us to build out the rest of it! The idea is to do amazing things and have a lot of fun while doing it.


Standard Chartered nexus is looking for a Staff Data Engineer to define, implement and run the Data platforms and analytics for an online banking project.


What will you be doing:

Choosing the right technologies for our use cases, deploy and operate.
Setting up Data stores structured, semi structured and non-structured.
Secure data at rest via encryption
Implement tool to access securely multiple data sources
Implement solutions to run real-time analytics
Use container technologies
Design and implement replications strategies for an active/active data center layout
Design and implement backup and recovery strategy


 
What do you need to be successful in this role?

3+ years of experience in similar function
2+ years’ experience on distributed datastores and distributed computation
Experience in a few of the followings: Elastic Search, Cassandra, Hadoop, Mongo DB
Experience in Spark and Presto or Trino
Experience with microservice based architectures 
Experience on Kubernetes
Experience with using NoSQL is a big plus
Experience of Unix/Linux environments is plus
Experience of Agile/Scrum development methodologies is a plus
Knowledge of retail banking is a plus
Cloud knowledge a big plus (AWS/GCP) – (Kubernetes/Docker)
Be nice, respectful, able to work in a team
Willingness to learn


 
About Standard Chartered nexus
Standard Chartered nexus is a white label plug-and-play banking solution powered by Standard Chartered Bank. We take pride in redefining how we bank customers globally by digitally marrying ecosystems to banks. Our Banking-as-a-Service (BaaS) solution is the gateway that enables convenient access to financial services. We believe in challenging the status quo and thinking outside the box to deliver innovative solutions. Let’s shape the future of banking together.
The Standard Chartered nexus family is made up of a bunch of fun, hardworking and results-oriented individuals. Most importantly, nexaurs value teamwork, and we champion a respectful, open and trusting work environment. If you are interested to be part of the team in re-wiring the DNA of banking, join us today. #YesWeCanLAH Find out more about nexus and what we do at http://sc.com/scnexus
  


Hiring InsightsJob activityPosted 30+ days ago"
https://sg.indeed.com/rc/clk?jk=c7d9e083738ec3ff&fccid=8975b9f5b98c2e9d&vjs=3,Software Engineer,"
Our Software Engineer will develop and maintain new or improved software products, procedures, and techniques under Microsoft .NET platform. Responsibilities include providing innovative and cost-effective engineering solutions to meet technical objectives and timing. An analytical thinker, you are expected to function well independently and in a team, exercise creativity and innovation, and possess excellent communications skills. Job Description: 

Design, develop and deploy business software applications (ASP.NET/C#)
Systems analysis and integration of multi-solutions with our ERP suite
Developing systems; complying with specifications and quality
Develop, optimize and enhance in-house ERP system

Min. Experience Required:

Degree in Computer-related field and/or 4 years equivalent work experience
Experience in software application design and development
Good knowledge in ERP/Business applications will be advantageous
Good knowledge in architecture and system designs
Good object-oriented system design skills; knowledge in UML tool
Good presentation/communication skills in English
Strong customer service orientation with attention to details








Working at A2000 Solutions






With a track record of 25 years and counting, A2000 Solutions Pte Ltd is a trusted brand of software development that provides ERP solutions in CRM, Accounting, E-Commerce, Mobile sales, Point of Sale System, Warehouse Management, Fixed Asset Management, Peppol E- Invoicing, Helpdesk & Ticketing System, Project and Contract System, Time Attendance Management and Visitor Management.






With more than 3000 companies currently using our system, we are confident in providing the right expertise to continue empowering businesses, and to create a dynamic response to market changes for small and medium-sized industries.






A2000 Solutions is a NICF-Supporting Company.



Hiring InsightsJob activityPosted Just posted"
https://sg.indeed.com/rc/clk?jk=ea12a288a8e53509&fccid=aaf3b433897ea465&vjs=3,"Commodities Python Software Engineer, Associate","Job detailsJob TypeFull-timePermanentFull Job Description
 As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally. 
 
 Athena is J.P. Morgan's cross-market risk management and trading system that provides functionality for traders, salespeople, operations and product control staff globally. It is used in our foreign exchange, fixed income, credit and commodities businesses. Athena includes a globally replicated object-oriented database, a powerful dependency graph and a fully integrated stack across pricing, risk and trading tools. The code is a combination of Python and C++: C++ for speed, and Python for flexibility and rapid but controlled releases. Athena is designed to provide a continuous deployment environment, and pull developers close to the business to help increase revenues, while improving operational processes and controls to reduce costs. 
 
 As the Athena Python developer, you will be responsible for the design and delivery of the tooling used by trading and other business partners in the energy space of the commodities group. In addition to strong technical development skills, an agile mindset is required to be able to focus on both strategic initiatives and streamline the day-to-day trading activities of the desk. The position also involves managing a team of software developers, covering their book of work, technical design and deployment. Development is on JPMorgan's Athena risk management platform, therefore strong python knowledge is essential.
 
 This role requires a wide variety of strengths and capabilities, including: 
 

Bachelor degree
Minimum 4 years of software engineering experience in Financial Services sector
Expertise in application, data and infrastructure architecture disciplines
Advanced knowledge of architecture, design across all systems
Proficiency in multiple modern programming languages, preferably Python or C++
Knowledge of industry wide technology trends and best practices
Knowledge of Commodities business is a huge preference.
Keen understanding of financial control and budget management
Ability to work in large, collaborative teams to achieve organizational goals, and passionate about building an innovative culture

J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
 We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
Hiring InsightsJob activityPosted 2 days ago"
https://sg.indeed.com/rc/clk?jk=99957fb2018c89f6&fccid=c1099851e9794854&vjs=3,"Graduate Software Engineer, Commerce Engineering, Apple Media Products","



Summary


      Posted: Apr 13, 2022
     


       Role Number:
       200367023



      Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Would you like the stimulation and challenges of building a world-class, extraordinary scalable commerce platform? Then this is the opportunity for you at Apple! We strive to provide a flawless purchase and subscription experience for our for millions of customers and developers. The Apple Media Products Commerce Engineering team is looking for a highly motivated, talented individual who will work on building and enhancing large-scale systems using distributed data stores with a strong focus on scalability and performance. We partner with a variety of cross and multi-functional team members from a diverse array of groups across the company You will join a hands-on development team that fosters creativity and generates novel solutions to deliver engineering excellence. Join an innovative impactful team making a difference.
     









Key Qualifications




Exceptional Java programming experience
Object-oriented programming
Deep experience in Unix/Linux
Entity relationship modeling
Experience with Key/Value Stores
Knowledge of databases both SQL and NoSQL and entity relationship modeling
Experience programming for eventual consistency
Experience working in a large code base
Experience/knowledge working on highly scalable applications and RESTful web services
Familiarity with scalability and performance issues
Excellent judgment and integrity with the ability to make timely and sound decisions
Strong computer science background










Description



       If you like the stimulation and challenges of building systems and features exposed to hundreds of millions of transacting users, and you want to make a difference, you will find Apple Media Products Engineering to be a fast-paced, rewarding environment where the best engineers and scientists collaborate to deliver fantastic products and features to our customers. This position is for a Software Engineer within the Apple Media Products Commerce team. We are seeking a Java engineer with experience implementing large scale systems and a deep knowledge of distributed key-value stores. The ideal candidate will be able to work independently, to drive a project from inception to production deployment with a strong focus on performance to get the most out of your systems' designs and implementations, no matter what the scale. You will work on measuring, profiling, tuning but you will also be able to think outside the box and question assumptions. You should be a great teammate and have excellent communication and presentation skills.
      








Education & Experience



       BS or MS in Electrical, Computer Science, Software Engineering or Mathematics
      








Additional Requirements




Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.







Hiring InsightsJob activityPosted 2 days ago"
https://sg.indeed.com/rc/clk?jk=fdba761c20fd6a21&fccid=c1099851e9794854&vjs=3,"Graduate Software Engineer, AI+ML Search Ranking Science, Apple Media Products","



Summary


      Posted: Apr 13, 2022
     


       Role Number:
       200367024



      Our engineers have created some tough acts to follow, and they continue to lead us to innovative breakthroughs. Because they’re driven not by what would be easy, but by what would be amazing. We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all find what we love in new ways. The AMP Search team powers search for iTunes, App Store, Apple Music, Apple TV, Podcasts, Books and more on iOS, macOS, tvOS, watchOS, web browsers, 3rd party devices, and Windows. As a member of the Apple Media Products Search team you will be working on various components of the Search platform - ranking, query understanding, feature engineering, data pipelines, indexing, knowledge graph integration, and platform improvements. Responsibilities will include design, development and maintenance of search components that serve customers worldwide. You will also be responsible for bringing the latest in search and discovery research to production at scale. If you want to craft new ways for customers to discover content in a rapidly growing catalog on the Apple ecosystem of devices and platforms, this is the place to be. The Apple Media Products Search Team is looking for extraordinary engineers to help build next-generation search features for Apple's ground breaking devices and platforms. We are a key part of the Apple ecosystem, supporting all of users. We operate globally in languages around the world. We strive to provide the best search experience for our customers.
     









Key Qualifications




Deep understanding of the search and information retrieval fundamentals including indexing, query understanding, retrieval and ranking
Hands on experience with Machine Learning and Deep Learning.
Knowledge on building big data pipelines with Hadoop, Java, Scala, and Spark
Experience with search solutions with Lucene / Solr / Elasticsearch or related search technologies will be preferred.
Familiarity with A/B experimentation and data/metric-driven product development










Description



       You Will Have a major impact on the way people search & discover Apple Media content on Apple devices worldwide. Be part of a team with strong expertise in software engineering, information retrieval, language processing, data mining, machine learning, scalable systems, and offline parallel processing (Hadoop, Scala, Spark). Be responsible for improving search recall and ranking. Use big data technology to evaluate and prioritize content discovery features. Conduct AB Tests to ensure we objectively measure improvements. Ensure successful deployment of features, code, data, and models to production. Collaborate with other world-class engineers, researchers, and statisticians to ensure that features and models are functioning at or above expected performance levels. Design & Implement solutions for automated unit and integration tests that enable continuous integration and delivery. Support search - On all devices (macOS, iOS, tvOS, watchOS, Siri/HomePod, and more) - Across media products (App Store, iTunes, Music, Video, Books, Podcasts) - Globally in languages from Arabic to Russian and everything in between
      








Education & Experience



       Bachelors in Computer Science or related field, Masters or PhD preferred
      








Additional Requirements




Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.







Hiring InsightsJob activityPosted 2 days ago"
https://sg.indeed.com/rc/clk?jk=3d8eb716a9a32abe&fccid=a94c6bb50f118c9f&vjs=3,Software Engineer (.Net),"

Software Engineer (.Net)




Date: 14-Jun-2022 
Location: Singapore, Singapore 
Company: Singtel Group 


NCS is a leading technology services firm with presence in Asia Pacific and partners with governments and enterprises to advance communities through technology. Combining the experience and expertise of its 10,000-strong team across 49 specialisations, NCS provides differentiated and end-to-end technology services to clients with its NEXT capabilities of digital, cloud, platforms as well as core offerings in application, infrastructure, engineering, and cyber security. NCS also believes in building a strong partner eco-system with leading technology players, research institutions and start-ups to support open innovation and co-creation. For more information, visit ncs.co.


As a Software Engineer, the broad area of your job responsibilities should cover the following: Project Delivery

Analyse process/program specifications & translate specifications to program codes, conforming to program guidelines and programming best practices
Make changes to configurable items, which include hardware, software, documentation, etc. It covers configuration management planning, configuration identification, configuration controls & audits
Develop unit test package, execute tests & document test results to ensure the quality of the program
Assist in the integration testing, system testing, User Acceptance Test (UAT) & implementation activities to fix the reported problems/bugs of the system to ensure the smooth execution of programs in the production environment
Investigate all reported problems/errors & initiate amendments & testing so that the system can operate correctly & efficiently
Prepare & maintain up-to-date system documentation.
Analyse functional requirements to translate into application design using established design methodologies and guidelines
Ensure codes comply with NCS security guidelines


 Teamwork

Work with team lead to ensure design and programme codes conform to architecture and design standards, and that design satisfies functional and system requirements
Participate in requirements gathering; work with Business Analysts in reviewing and refining functional specifications
Participate in peer reviews to improve project quality


 The ideal candidate should have/possess the following:

2-6 years of working experience in developing and delivering application software
Possess relevant system development / maintenance experience using .NET-related technologies
Possess initiative and disposition with a strong commitment and orientation towards results and high-quality standards
Strong problem-solving skills and ability to think out of the box
Team player with strong communication and interpersonal skills
Self-motivator with a positive attitude and with high energy
Customer focused
Proficient in written and spoken English
Diploma / Degree in Computer Science / Computer Engineering / Information Technology related field, or IT equivalent
Able to travel as required


 
We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated


Hiring InsightsJob activityPosted 2 days ago"
